Order_ID,Agent_Age,Agent_Rating,Store_Latitude,Store_Longitude,Drop_Latitude,Drop_Longitude,Order_Date,Order_Time,Pickup_Time,Weather,Traffic,Vehicle,Area,Delivery_Time,Category,Distance_km
uhfs888375680,35.0,4.0,12.311072,76.654878,12.351072,76.694878,2022-03-01,14:55:00,15:10:00,Windy,High ,scooter ,Metropolitian ,33.0,Grocery,6.205589948340002
zotl583816092,32.0,4.7,0.0,0.0,0.11,0.11,2022-03-08,21:35:00,21:45:00,Stormy,Jam ,scooter ,Urban ,35.0,Grocery,17.259376716936664
zkat983341391,35.0,4.3,13.064181,80.236442,13.134181,80.306442,2022-03-14,17:25:00,17:30:00,Cloudy,Medium ,motorcycle ,Metropolitian ,33.0,Grocery,10.844094035055107
nvck471535045,37.0,4.9,22.539129,88.365507,22.559129,88.385507,2022-02-13,10:55:00,11:00:00,Fog,Low ,scooter ,Urban ,16.0,Grocery,3.0227804656534882
emlt327861941,23.0,4.8,0.0,0.0,0.02,0.02,2022-03-07,10:40:00,10:50:00,Stormy,Low ,scooter ,Metropolitian ,15.0,Grocery,3.1380694073889375
okvp821614347,25.0,4.8,17.458998,78.500366,17.488998,78.530366,2022-03-26,23:55:00,00:10:00,Cloudy,Low ,scooter ,Urban ,19.0,Grocery,4.601882860108752
jxsj508533395,37.0,4.7,12.3085,76.665808,12.3385,76.695808,2022-04-01,22:35:00,22:40:00,Windy,Low ,scooter ,Metropolitian ,26.0,Grocery,4.654256824131882
lubd358643567,24.0,4.6,0.0,0.0,0.06,0.06,2022-03-07,23:25:00,23:40:00,Stormy,Low ,scooter ,Urban ,19.0,Grocery,9.414207472710387
ibwr067523869,23.0,4.7,13.044694,80.26147,13.084694,80.30147,2022-03-17,16:55:00,17:00:00,Fog,Medium ,motorcycle ,Urban ,19.0,Grocery,6.19703893141132
kiyg810534481,25.0,4.7,19.178321,72.834715,19.248321,72.904715,2022-03-16,23:35:00,23:45:00,Sandstorms,Low ,motorcycle ,Metropolitian ,16.0,Grocery,10.687630840937123
rabu202619192,20.0,4.7,26.482419,80.320939,26.502419,80.340939,2022-02-11,11:10:00,11:25:00,Cloudy,High ,scooter ,Metropolitian ,25.0,Grocery,2.9809448604624884
bwhs416644198,23.0,4.8,21.15276,72.778059,21.28276,72.908059,2022-03-12,20:40:00,20:45:00,Windy,Jam ,motorcycle ,Metropolitian ,28.0,Grocery,19.731429221614068
rfxd157515921,22.0,4.8,22.753839,75.897429,22.773839,75.917429,2022-04-01,10:00:00,10:05:00,Stormy,Low ,motorcycle ,Other,19.0,Grocery,3.0206490444019702
ceed295586354,24.0,4.6,12.98041,77.640489,13.06041,77.720489,2022-03-23,18:30:00,18:40:00,Windy,Medium ,van,Urban ,24.0,Grocery,12.395136598591078
erap841821582,30.0,4.6,19.131141,72.813074,19.16114,72.843074,2022-03-07,19:00:00,19:10:00,Sunny,Medium ,motorcycle ,Metropolitian ,26.0,Grocery,4.581196682217199
qqjl805129936,36.0,5.0,26.849596,75.800512,26.859596,75.810512,2022-03-15,08:20:00,08:25:00,Fog,Low ,scooter ,Urban ,15.0,Grocery,1.4884133108377866
xznm347660092,30.0,4.7,21.170798,72.790489,21.280798,72.900489,2022-03-29,22:25:00,22:30:00,Windy,Low ,motorcycle ,Metropolitian ,24.0,Grocery,16.69541088302565
nyfh224947388,32.0,4.4,18.563934,73.915367,18.603935,73.955367,2022-03-05,16:00:00,16:05:00,Sandstorms,Medium ,motorcycle ,Metropolitian ,37.0,Grocery,6.117941643988989
pcyt916802893,20.0,4.7,17.458998,78.500366,17.518998,78.560366,2022-03-15,17:15:00,17:20:00,Cloudy,Medium ,motorcycle ,Urban ,13.0,Grocery,9.20341113898367
hoxq128553542,34.0,4.9,18.520016,73.830547,18.630016,73.940547,2022-03-02,22:55:00,23:05:00,Sunny,Low ,scooter ,Metropolitian ,26.0,Grocery,16.824526128937705
rwkg752700186,24.0,4.9,0.0,0.0,0.06,0.06,2022-04-03,18:00:00,18:05:00,Fog,Medium ,motorcycle ,Urban ,10.0,Grocery,9.414207472710387
pkts252955495,29.0,4.6,30.372202,78.077151,30.442202,78.147151,2022-02-18,23:40:00,23:55:00,Sandstorms,Low ,motorcycle ,Metropolitian ,22.0,Grocery,10.269518706782998
fdjp742606171,24.0,4.5,0.0,0.0,0.11,0.11,2022-03-16,23:10:00,23:15:00,Fog,Low ,motorcycle ,Metropolitian ,21.0,Grocery,17.259376716936664
vakz912181469,26.0,4.7,26.766536,75.837333,26.826536,75.897333,2022-03-09,22:45:00,22:55:00,Windy,Low ,motorcycle ,Metropolitian ,14.0,Grocery,8.932469105184088
xkxm865630486,21.0,4.4,21.173493,72.801953,21.203493,72.831953,2022-04-03,22:25:00,22:40:00,Windy,Low ,motorcycle ,Metropolitian ,15.0,Grocery,4.553818794873717
bvni933228891,22.0,4.0,13.029198,77.570997,13.039198,77.580997,2022-03-13,09:45:00,09:55:00,Sandstorms,Low ,motorcycle ,Urban ,28.0,Grocery,1.5493509707072781
watp349944722,29.0,4.8,21.149669,72.772629,21.279669,72.902629,2022-04-06,22:50:00,22:55:00,Windy,Low ,scooter ,Urban ,12.0,Grocery,19.73161759397837
dbyg819334603,34.0,4.6,15.496162,73.825364,15.536162,73.865364,2022-02-17,13:50:00,13:55:00,Sandstorms,High ,van,Urban ,27.0,Grocery,6.165063816991586
pwbf401580256,35.0,4.7,23.357804,85.325146,23.417804,85.385146,2022-03-01,21:30:00,21:40:00,Sandstorms,Jam ,motorcycle ,Metropolitian ,29.0,Grocery,9.04307025837713
rpxi920665792,29.0,4.8,19.120083,72.907385,19.190083,72.977385,2022-04-06,23:45:00,23:55:00,Cloudy,Low ,motorcycle ,Metropolitian ,23.0,Grocery,10.689377930173068
gzhs999389838,29.0,4.5,26.911927,75.797282,27.001927,75.887282,2022-03-31,19:00:00,19:10:00,Fog,Medium ,motorcycle ,Metropolitian ,37.0,Grocery,13.390446111325245
fnmz024487519,32.0,4.7,17.424114,78.347554,17.534114,78.457554,2022-03-31,22:50:00,23:05:00,Fog,Low ,motorcycle ,Metropolitian ,41.0,Grocery,16.873347387885367
